"Matricula","situacaoDisciplina","Classificao","numeroMatriculas","anoNascimento","Sexo","idGrade","idDisciplina","idSerie","EscolaridadeResponsavel","idEstadoCivilResponsavel","Total_Faltas","numeroReprovacoes","AprovacoesComExelencia"
"004210200185",MUITO BOM/APROVADO,112,1,2004,F,4,3,48,1,2,0,0,13
"004230220087",EXCELENTE/APROVADO,113,1,2006,M,4,3,49,6,2,0,13,13
"004220140804",MUITO BOM/APROVADO,112,2,2006,M,4,59,48,1,2,0,5,13
"004002019130027",BOM/APROVADO,111,2,2001,M,4,8,49,6,2,0,0,3
"004230210057",MUITO BOM/APROVADO,112,1,2007,M,4,8,49,1,1,0,13,6
"0030010019180192",MUITO BOM/APROVADO,112,1,2003,M,4,49,48,1,1,0,0,10
"004003019180343",MUITO BOM/APROVADO,112,1,2002,F,4,60,50,1,2,0,0,13
"004002019130050",BOM/APROVADO,111,1,2003,F,4,34,49,1,1,0,0,4
"0030010019140695",BOM/APROVADO,111,1,2004,M,4,60,48,1,2,0,0,2
"002004180180096",NÃO VAI CURSAR A DISCIPLINA,109,1,2001,F,4,46,48,7,1,0,1,7
"0030010020130049",EXCELENTE/APROVADO,113,1,2005,M,4,60,48,6,2,0,1,13
"004210140693",MUITO BOM/APROVADO,112,1,2005,F,4,3,49,6,2,0,1,13
"004210210010",EXCELENTE/APROVADO,113,2,2006,F,4,40,48,1,2,0,1,13
"0030010020160300",EXCELENTE/APROVADO,113,1,2004,F,4,49,48,1,4,0,1,13
"004220170230",MUITO BOM/APROVADO,112,2,2006,F,4,47,49,1,4,0,4,11
"004220150109",MUITO BOM/APROVADO,112,1,2006,F,4,27,49,6,2,0,4,13
"004230200251",BOM/APROVADO,111,1,2007,M,4,40,49,1,1,0,13,4
"002004180180229",NÃO VAI CURSAR A DISCIPLINA,109,1,2003,F,4,46,48,2,1,0,1,4
"004003019170196",MUITO BOM/APROVADO,112,1,2001,M,4,27,50,1,4,0,0,13
